id,name,city,postal_code,department,latitude,longitude,status
52ad8dac-3de7-4ac1-94cc-45087a5bd706,Golf de Nîmes Campagne,Nîmes,30900,30,43.76435640,4.38484920,verified
f3af0275-9462-47b7-a119-48cf4230ae9d,Golf de Nîmes Vacquerolles,Nîmes,30900,30,43.84944810,4.30265780,verified
9829f100-c745-48d4-876e-b5dd029a50e6,Golf de Sommières,Sommières,30250,30,43.78345000,4.08973800,verified
9c04ecce-50f3-4eb1-b13c-b5f34b215d5b,Golf du Grand Avignon,Villeneuve-lez-Avignon,30400,30,43.96036070,4.88691350,verified
2a56b283-cd54-45f1-8663-365bfc763ac9,Golf de Palmola,Buzet-sur-Tarn,31660,31,43.74677180,1.59865560,verified
735301eb-aa19-47e8-97a8-c20ef344409c,Golf de Téoula,Plaisance-du-Touch,31830,31,43.55397560,1.25685100,verified
87f1f425-3485-430d-842e-3d8629812a34,Golf de Seilh,Seilh,31840,31,43.68385490,1.35839030,verified
57c4bd0d-2cac-411d-8ee7-3c376671d9ef,Golf de Garonne,Toulouse,31200,31,43.62923700,1.40784600,verified
c2059bc7-d79c-49bd-9513-81319e361365,Golf Club de Toulouse,Vieille-Toulouse,31320,31,43.53472220,1.43750000,verified
5d0821fe-88ef-43b8-9877-1fb7b7a33389,Golf d'Auch Embats,Auch,32000,32,43.65327500,0.53768200,verified
2a376521-c612-44ec-b15c-c5f0d4905af5,Golf d'Eauze Grand Armagnac,Eauze,32800,32,43.89753240,0.11592820,verified
56f66fa2-f4de-4f05-a180-85e7f1064780,Golf de Gascogne,Saint-Clar,32380,32,43.88860000,0.76625620,verified
c70ba5e2-407a-45ba-a427-e47d5d01fb8d,Golf d'Arcachon,La Teste-de-Buch,33120,33,44.63774800,-1.17164700,verified
d0ae53f9-f357-4fbe-b09b-4561a2ec2777,Golf du Médoc (Cabot Bordeaux),Le Pian-Médoc,33290,33,44.94560130,-0.70870620,verified
d8b1c008-a986-4c29-a051-8358b7ceadfa,Golf de Lacanau Océan,,33680,33,44.97845900,-1.07574500,verified
98354db2-01a7-493c-9823-efab2b8dd968,Golf de Margaux,,33460,33,45.04203500,-0.67751900,verified
96343cb2-2a39-412d-9742-5be7669366d7,Golf de Saint-Thomas,Béziers,34500,34,43.37204550,3.33259840,verified
a3f81f8c-ed08-4286-885e-b56c6c3b01f9,Golf de Cap d'Agde,Cap d'Agde,34300,34,43.28318170,3.49581690,verified
04f009e3-890e-47be-adb1-5d4dc41671a4,Golf de Fontcaude,Juvignac,34990,34,43.62818800,3.80123500,verified
564aec50-770c-41be-851a-23f2edc5a1c1,Golf International de la Grande Motte,La Grande Motte,34280,34,43.56070400,4.08607200,verified
5c757f50-d1ec-4140-8841-f51a8765e061,Domaine de Cicé-Blossac,Bruz,35170,35,48.03480420,-1.77073870,verified
ceb4587f-6471-4e63-b4f9-9c985566f791,Golf de Saint-Malo,Le Tronchet,35540,35,48.49704200,-1.84295600,verified
73b76bf3-bbf8-4c6f-85c0-debde98a24f7,Golf de Dinard,Saint-Briac-sur-Mer,35800,35,48.63209490,-2.13690520,verified
b1259d6f-ecff-481e-8d97-c95489ebeccf,Golf Club du Val de l'Indre,Villedieu-sur-Indre,36320,36,46.84658050,1.54351870,verified
80a9e853-8119-44da-b845-67caf99cca68,Golf de Touraine,Ballan-Miré,37510,37,47.33396280,0.58941380,verified
252f693d-1995-48d9-ae3a-110dd3635ac6,Golf du Château des Sept Tours,Courcelles-de-Touraine,37330,37,47.48300100,0.36148140,verified
56119146-5826-4437-8868-3726024d7c37,Golf du Château de Beaulieu,Joué-lès-Tours,37300,37,47.36254110,0.66065460,verified
ce7b579d-4711-4da7-9def-0a35e81de644,Golf Tours Ardrée,Saint-Antoine-du-Rocher,37360,37,47.48687770,0.64255460,verified
0b89c5e2-264a-49ed-888e-d943e3bfed70,Golf de Grenoble Charmeil,Saint-Quentin-sur-Isère,38210,38,45.28834530,5.55621430,verified
307b0e80-e07e-4eda-99fb-4ae2747b1bbc,Golf de Grenoble Seyssins,Seyssins,38180,38,45.16224100,5.68672900,verified
b4663c78-faea-432f-a676-eb3c5f63bd7c,Association Sportive des Golfeurs du Triangle d'Or,Arbois,39600,39,46.92098300,5.76808800,verified
45e836fe-fca9-4cef-ba6b-762f7495be8f,Golf du Rochat,Les Rousses,39220,39,46.48796670,6.07763420,verified
6c8569f6-1561-4464-9d48-e87c6fdc0631,Golf du Val de Sorne,Vernantois,39570,39,46.64133100,5.56490800,verified
ade339f8-f24f-455f-a8b7-c656dc0b8de0,Golf d'Hossegor,,40150,40,43.65747690,-1.42526100,verified
6219dc6a-c3a8-4bb1-92e4-eccf87cf1027,Golf de Biscarrosse,,40600,40,44.44647670,-1.20027770,verified
2f8cff0a-de49-4ca4-8bd8-94a761395256,Golf de Seignosse,,40510,40,43.69110480,-1.40896990,verified
a67ad20f-7ff3-4c6f-b639-b4544c9666c1,Golf du Château de Cheverny,Cheverny,41700,41,47.48713260,1.46214760,verified
30bef728-f80e-4ec9-905c-42aaa9a4b956,Golf International Les Bordes,Saint-Laurent-Nouan,41220,41,47.73440030,1.68109460,verified
d1edf4fb-75fb-420b-990f-046d621b0900,Golf de Saint-Étienne Bluegreen,Saint-Étienne,42000,42,45.45442960,4.36728710,verified
c416e026-a913-4078-8132-4ad82add44ff,Golf Club Domaine de Champlong,Villerest,42300,42,45.99843260,4.01649170,verified
8168abed-a1af-4190-9e70-f7216db3abd0,Golf du Chambon-sur-Lignon,Le Chambon-sur-Lignon,43400,43,45.03450120,4.32224240,verified
4aee9de8-5641-4692-9690-ce548f138879,UGOLF Golf de Nantes Carquefou,Carquefou,44470,44,47.28696820,-1.48761710,verified
1b754f54-11cb-42cd-a228-78246c3b2085,Golf de Guérande,Guérande,44350,44,47.34970620,-2.41006870,verified
570271a1-ac59-4f52-8cd7-0c0745ed86d6,Golf de La Baule,La Baule-Escoublac,44500,44,47.32051480,-2.34128930,verified
3c37eafe-4b95-4c17-be6d-47682e1c2816,Golf Blue Green Piriac,Piriac-sur-Mer,44420,44,47.38181560,-2.54666710,to_verify
e02ad71c-e3f4-4e58-bcf7-abbe06e41071,Golf de Pornic,Pornic,44210,44,47.12065410,-2.11988650,verified
e91ff9d8-8903-4cf2-adc3-de47d4d31757,Golf de Pornichet,Pornichet,44380,44,47.26176000,-2.29156000,corrected
472e0227-de28-42ee-9e91-8365afb16f93,Golf de Savenay,Savenay,44260,44,47.36487600,-1.91491300,corrected
83e67e25-1ca8-49cd-88bc-84e826ea6130,Golf Club de Nantes,Vigneux-de-Bretagne,44360,44,47.29090560,-1.69999490,verified
22ca45ba-175a-4f36-9cc8-7385f8fa4eea,Golf de Limère,Ardon,45160,45,47.82138580,1.91303930,verified
95325c2c-259f-4e60-ae0c-549079626838,Golf d'Orléans-Donnery,Donnery,45450,45,47.90053300,2.10225300,verified
d73fd848-59a8-488b-aa21-0f409c9fc8b3,Domaine et Golf de Vaugouard,Fontenay-sur-Loing,45210,45,48.06828680,2.77395310,verified
4a9609fc-df9c-44cf-8b0c-357a515cd194,Golf des Aisses,La Ferté-Saint-Aubin,45240,45,47.69500340,1.96650730,verified
6bd1d20a-74fd-4bbf-af2d-106ffc6e4e6d,Golf International Les Bordes,Les Bordes,45370,45,47.73322000,1.68339000,corrected
a4ef6625-4c04-4d79-950a-b91867e01db7,Golf de la Gloriette,Tours,37200,37,47.36947000,0.67045000,corrected
e225a145-fad9-4d00-8ff9-bda3870a75aa,Golf de Marcilly-en-Villette,Marcilly-en-Villette,45240,45,47.78214890,2.01771000,verified
f5d71bf7-f49e-43c6-af65-573d92d403c6,Golf de Sully-sur-Loire,Sully-sur-Loire,45600,45,47.74571610,2.32185490,verified
45ac718e-d7dc-4385-82d4-28003e2971d9,Souillac Golf & Country Club,Lachapelle-Auzac,46200,46,44.94915000,1.45086000,corrected
DOUBLON_SUPPRIME
7ceb0634-9283-435d-a9c4-56bcc8f78e33,Golf d'Albret,Barbaste,47160,47,44.17296070,0.26352220,verified
8c4d1f6e-3cf1-44a3-a628-14cf614d68c0,Golf de Casteljaloux,Casteljaloux,47700,47,44.29616540,0.07030700,verified
9ec97029-d8da-4ae9-9f52-907ef65018f4,Golf de Villeneuve-sur-Lot,Castelnaud-de-Gratecambe,47290,47,44.48658100,0.67658890,verified
00750a69-fe0d-4378-a836-015ef2b9568b,Golf de Marmande,Marmande,47200,47,44.49550300,0.19826900,verified
